                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0358,                 2.3299,                 0.8088,                 1.0834,                0.72308,                0.53699,                0.59257,                0.36298,                0.66426,                 0.4763,                0.50653,                0.25928,                 1.0842,                    2.4,                 0.8144,                 0.9847,             0.00023889,             0.00023889,             0.00023889
                     25,                 1.0243,                 2.3026,                0.79673,                 1.0769,                0.74551,                 0.5331,                0.59623,                0.36263,                 0.6864,                0.47481,                0.51001,                0.25498,                 1.0957,                 2.3833,                0.81225,                0.98441,             0.00023254,             0.00023254,             0.00023254
                     26,                 1.0267,                 2.3071,                0.79775,                 1.0824,                0.74644,                0.54731,                0.60248,                 0.3694,                0.66726,                0.47421,                0.50117,                0.25848,                 1.0799,                 2.3819,                0.80283,                 0.9751,             0.00022619,             0.00022619,             0.00022619
                     27,                 1.0227,                 2.2939,                0.79039,                 1.0752,                0.77406,                0.54243,                0.60477,                0.36594,                0.70139,                0.46718,                0.50558,                0.26069,                 1.0818,                 2.3643,                0.80707,                0.98009,             0.00021983,             0.00021983,             0.00021983
                     28,                 1.0161,                 2.2867,                0.78497,                  1.074,                0.75826,                0.54787,                0.60259,                0.36917,                0.68322,                0.46782,                0.49545,                0.25444,                 1.0867,                 2.3847,                0.80841,                0.98395,             0.00021348,             0.00021348,             0.00021348
                     29,                 1.0105,                 2.2776,                0.78203,                 1.0717,                0.77766,                0.54009,                0.60419,                 0.3726,                0.67956,                 0.4774,                0.50633,                0.25934,                 1.0707,                 2.3488,                0.79781,                0.97743,             0.00020713,             0.00020713,             0.00020713
                     30,                 1.0119,                 2.2709,                0.78127,                 1.0719,                0.75102,                 0.5521,                0.60607,                0.37145,                0.67619,                0.47681,                0.49894,                0.25627,                 1.0704,                  2.351,                0.78983,                0.97371,             0.00020078,             0.00020078,             0.00020078
                     31,                 1.0103,                 2.2769,                0.77983,                 1.0708,                0.74359,                0.55989,                 0.6079,                0.36864,                0.69054,                0.47489,                0.50646,                0.25906,                 1.0809,                 2.3441,                0.79806,                0.98062,             0.00019442,             0.00019442,             0.00019442
                     32,                 1.0053,                 2.2591,                0.77587,                 1.0687,                0.75197,                 0.5599,                 0.6144,                0.37805,                0.67199,                0.48202,                0.51706,                0.26331,                 1.0689,                 2.3556,                0.78711,                0.97417,             0.00018807,             0.00018807,             0.00018807
                     33,                 1.0052,                 2.2614,                0.77001,                 1.0698,                0.74313,                0.55795,                0.61367,                0.37909,                0.66388,                0.48228,                0.51622,                0.26548,                  1.056,                 2.3243,                0.77988,                0.97096,             0.00018172,             0.00018172,             0.00018172
                     34,                0.99897,                 2.2516,                0.76424,                 1.0669,                0.75862,                0.56034,                0.61708,                0.37791,                0.68069,                0.49144,                0.51668,                 0.2647,                 1.0619,                 2.3258,                0.77303,                0.96628,             0.00017537,             0.00017537,             0.00017537
                     35,                 1.0045,                 2.2663,                0.76951,                 1.0665,                0.76046,                0.54933,                0.61377,                0.38303,                0.67163,                0.48461,                0.51305,                0.26709,                 1.0483,                 2.3262,                0.76756,                 0.9611,             0.00016901,             0.00016901,             0.00016901
                     36,                0.99672,                 2.2511,                0.76028,                  1.064,                0.76779,                0.54356,                0.61484,                0.38301,                0.70999,                0.48326,                0.52293,                0.27031,                 1.0437,                 2.3145,                0.76539,                0.96239,             0.00016266,             0.00016266,             0.00016266
                     37,                  0.995,                 2.2415,                0.76046,                 1.0635,                0.77974,                0.55248,                0.61646,                0.38246,                0.70295,                0.48698,                0.52041,                0.26964,                  1.051,                 2.3122,                0.77023,                0.96226,             0.00015631,             0.00015631,             0.00015631
                     38,                0.98452,                 2.2407,                0.75395,                 1.0594,                0.77737,                0.55327,                0.61904,                0.38839,                0.70986,                0.47544,                0.51445,                 0.2666,                 1.0369,                 2.3061,                 0.7655,                0.95902,             0.00014996,             0.00014996,             0.00014996
                     39,                0.97646,                 2.2168,                0.74597,                 1.0555,                0.79031,                0.55556,                0.62349,                0.38885,                0.71403,                0.49282,                 0.5279,                0.27207,                 1.0511,                 2.3162,                0.76526,                  0.964,             0.00014361,             0.00014361,             0.00014361
                     40,                0.98147,                 2.2219,                0.75013,                 1.0579,                0.80224,                0.54742,                 0.6221,                  0.389,                0.73117,                0.48066,                0.52378,                0.27209,                 1.0456,                 2.3145,                0.76365,                0.95977,             0.00013725,             0.00013725,             0.00013725
                     41,                0.97791,                 2.2223,                  0.744,                 1.0533,                0.77132,                0.55833,                0.62554,                0.38725,                0.70097,                0.48295,                0.52305,                0.27138,                 1.0409,                 2.3031,                0.75619,                0.95717,              0.0001309,              0.0001309,              0.0001309
                     42,                0.97502,                 2.2005,                 0.7426,                 1.0557,                0.76119,                0.56408,                0.62329,                0.39214,                0.69166,                0.48497,                0.52191,                0.27115,                 1.0457,                 2.3105,                0.76322,                0.96006,             0.00012455,             0.00012455,             0.00012455
                     43,                0.97325,                  2.198,                0.74375,                 1.0564,                0.76932,                0.56623,                0.62614,                0.39241,                0.69446,                0.49533,                0.52771,                0.27627,                 1.0418,                 2.2955,                0.75638,                0.95834,              0.0001182,              0.0001182,              0.0001182
                     44,                0.97622,                 2.2066,                0.74065,                 1.0571,                0.77805,                0.55856,                0.62558,                0.39421,                0.70131,                0.49007,                0.52383,                0.27231,                 1.0374,                 2.3075,                0.75765,                0.95943,             0.00011184,             0.00011184,             0.00011184
                     45,                0.97237,                 2.2014,                0.73571,                 1.0518,                0.80204,                 0.5546,                0.62796,                0.39742,                0.71962,                0.48802,                0.52954,                0.27412,                 1.0269,                 2.2922,                0.74811,                0.95051,             0.00010549,             0.00010549,             0.00010549
                     46,                0.96189,                 2.1902,                0.73056,                 1.0498,                0.77532,                0.56536,                 0.6299,                 0.3978,                0.71863,                0.48911,                0.53053,                0.27367,                 1.0302,                 2.2799,                 0.7505,                 0.9529,             9.9137e-05,             9.9137e-05,             9.9137e-05
                     47,                0.96639,                 2.1881,                0.73462,                 1.0494,                0.76693,                0.57279,                0.63232,                0.39937,                 0.6872,                0.49794,                0.52787,                0.27148,                 1.0271,                  2.281,                0.74468,                0.95282,             9.2785e-05,             9.2785e-05,             9.2785e-05
                     48,                0.96362,                 2.1865,                  0.729,                 1.0492,                0.78658,                0.56271,                0.63118,                0.40079,                 0.7249,                0.49114,                0.53237,                0.27452,                 1.0215,                 2.2765,                0.74211,                0.94735,             8.6432e-05,             8.6432e-05,             8.6432e-05
                     49,                0.95938,                 2.1755,                0.72556,                 1.0471,                0.77981,                0.57121,                0.63713,                0.40205,                0.70078,                0.49981,                0.53557,                 0.2782,                 1.0191,                 2.2725,                0.73695,                0.94486,              8.008e-05,              8.008e-05,              8.008e-05
                     50,                0.96428,                 2.1806,                0.72909,                 1.0519,                0.77726,                0.57602,                0.63766,                0.39923,                0.71559,                0.49798,                0.54117,                0.27978,                 1.0221,                 2.2674,                0.73991,                0.94916,             7.3728e-05,             7.3728e-05,             7.3728e-05
                     51,                 1.0074,                 2.1836,                 0.7568,                 1.0622,                0.77013,                0.57474,                0.63345,                0.39859,                0.69829,                0.50906,                0.54129,                0.27973,                 1.0231,                 2.2828,                0.73877,                0.94722,             6.7375e-05,             6.7375e-05,             6.7375e-05
                     52,                0.98498,                 2.1564,                0.73049,                 1.0526,                0.78014,                0.57299,                0.63778,                0.40248,                0.71398,                0.50343,                0.53945,                 0.2778,                 1.0198,                 2.2773,                0.73555,                0.94611,             6.1023e-05,             6.1023e-05,             6.1023e-05
                     53,                 0.9747,                 2.1407,                0.71905,                 1.0471,                0.78947,                0.57229,                0.63946,                 0.4052,                0.74504,                0.49223,                0.54272,                0.27981,                 1.0151,                 2.2689,                0.73369,                0.94399,              5.467e-05,              5.467e-05,              5.467e-05
                     54,                0.97468,                 2.1379,                0.71848,                 1.0463,                0.78044,                 0.5765,                0.63684,                0.40518,                 0.7283,                0.49711,                0.54075,                0.27903,                  1.011,                 2.2671,                0.72962,                0.94268,             4.8318e-05,             4.8318e-05,             4.8318e-05
                     55,                  0.968,                 2.1265,                0.71392,                 1.0444,                0.78353,                0.56994,                0.63669,                0.40697,                0.72653,                0.50318,                0.54416,                 0.2807,                 1.0133,                 2.2629,                0.73158,                0.94295,             4.1965e-05,             4.1965e-05,             4.1965e-05
                     56,                 0.9651,                 2.1241,                0.70992,                   1.04,                0.80008,                0.57113,                0.64023,                 0.4064,                0.73906,                0.49095,                0.53863,                0.28191,                 1.0103,                 2.2547,                0.72458,                0.93972,             3.5613e-05,             3.5613e-05,             3.5613e-05
                     57,                0.96534,                 2.1269,                0.70929,                 1.0444,                0.78979,                0.57001,                0.63967,                0.40868,                0.70833,                0.50295,                0.54226,                0.28248,                  1.004,                 2.2505,                0.72225,                0.93764,              2.926e-05,              2.926e-05,              2.926e-05
                     58,                0.95597,                 2.1139,                 0.7053,                 1.0396,                0.80608,                0.56246,                0.63902,                0.41001,                0.71143,                 0.5016,                 0.5407,                0.28067,                 1.0035,                 2.2515,                0.71939,                  0.937,             2.2908e-05,             2.2908e-05,             2.2908e-05
                     59,                0.95143,                 2.1076,                0.70074,                 1.0371,                  0.803,                0.56762,                  0.643,                0.40992,                0.71719,                0.50076,                0.54329,                0.28085,                 1.0027,                  2.252,                0.71927,                0.93686,             1.6555e-05,             1.6555e-05,             1.6555e-05
                     60,                0.95131,                 2.1075,                0.70165,                 1.0378,                0.80397,                 0.5752,                0.64384,                0.41021,                 0.7369,                0.49241,                0.53966,                0.28189,                  1.001,                 2.2506,                0.71836,                0.93573,             1.0203e-05,             1.0203e-05,             1.0203e-05
