                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.96109,                 2.1608,                0.71879,                 1.0465,                0.78035,                0.57474,                0.64413,                0.40532,                0.70968,                0.49677,                0.53858,                0.28054,                 1.0262,                 2.2441,                0.73527,                0.95591,             0.00016584,             0.00016584,             0.00016584
                     25,                0.94963,                 2.1389,                0.71021,                 1.0412,                0.80642,                0.57214,                0.64357,                0.40463,                0.72416,                0.49939,                0.54339,                0.27817,                  1.018,                 2.2337,                0.72804,                0.94878,             0.00015631,             0.00015631,             0.00015631
                     26,                0.95231,                 2.1442,                0.71393,                 1.0467,                0.80247,                0.57529,                0.64237,                0.40704,                0.72021,                0.50985,                0.54725,                0.28406,                 1.0163,                  2.229,                0.72844,                0.94635,             0.00014678,             0.00014678,             0.00014678
                     27,                0.95148,                 2.1332,                0.70827,                 1.0411,                0.81681,                0.57244,                0.64681,                0.41184,                0.72115,                0.50404,                0.54823,                0.28378,                 1.0221,                  2.236,                0.72728,                0.95103,             0.00013725,             0.00013725,             0.00013725
                     28,                0.94537,                 2.1299,                0.70238,                 1.0397,                0.78694,                0.58049,                0.64554,                0.40437,                0.70061,                0.50716,                0.54559,                0.28346,                 1.0193,                 2.2471,                0.72459,                0.94705,             0.00012772,             0.00012772,             0.00012772
                     29,                0.93935,                 2.1235,                0.70098,                 1.0381,                0.77635,                0.58766,                0.64422,                0.40852,                0.71729,                 0.5094,                0.54825,                0.28293,                 1.0175,                 2.2332,                0.72698,                0.95391,              0.0001182,              0.0001182,              0.0001182
                     30,                0.94324,                 2.1168,                0.70094,                 1.0391,                0.80122,                0.58153,                0.64722,                0.40958,                0.71919,                0.50962,                0.55022,                0.28522,                 1.0132,                 2.2231,                0.72791,                0.95145,             0.00010867,             0.00010867,             0.00010867
                     31,                0.98233,                 2.1312,                0.71974,                 1.0484,                0.78799,                0.57738,                 0.6455,                0.40772,                0.70732,                0.49299,                0.54242,                0.28407,                 1.0184,                 2.2332,                 0.7288,                 0.9474,             9.9137e-05,             9.9137e-05,             9.9137e-05
                     32,                0.96758,                 2.1065,                0.70262,                 1.0404,                0.79583,                0.57744,                0.65002,                0.41093,                0.72357,                0.49717,                0.54453,                0.28858,                 1.0048,                 2.2263,                0.72111,                0.94074,             8.9609e-05,             8.9609e-05,             8.9609e-05
                     33,                0.95968,                 2.0912,                 0.6952,                 1.0365,                0.79605,                0.58139,                 0.6494,                 0.4128,                0.72015,                0.50897,                 0.5505,                0.28672,                 1.0074,                 2.2215,                0.71432,                0.94128,              8.008e-05,              8.008e-05,              8.008e-05
                     34,                0.95375,                  2.087,                0.69041,                 1.0381,                0.81045,                0.58022,                0.65425,                 0.4142,                0.73226,                 0.5047,                0.55249,                0.29107,                0.99913,                 2.2091,                0.71371,                0.93623,             7.0551e-05,             7.0551e-05,             7.0551e-05
                     35,                0.94727,                 2.0762,                0.68405,                 1.0318,                0.80004,                0.58308,                0.65245,                0.41601,                0.73599,                0.50232,                0.55406,                0.28824,                0.99853,                 2.2035,                0.70924,                0.93751,             6.1023e-05,             6.1023e-05,             6.1023e-05
                     36,                0.94374,                 2.0628,                0.68219,                 1.0305,                0.81551,                0.57682,                0.65462,                0.41936,                0.72637,                0.50785,                0.55585,                 0.2916,                0.99236,                 2.2016,                 0.7064,                0.93157,             5.1494e-05,             5.1494e-05,             5.1494e-05
                     37,                0.93959,                 2.0659,                0.67803,                 1.0291,                0.81378,                0.57665,                0.65395,                0.41801,                0.73755,                 0.4974,                0.55641,                0.29327,                0.99363,                 2.2006,                0.70594,                0.93768,             4.1965e-05,             4.1965e-05,             4.1965e-05
                     38,                0.93754,                 2.0573,                0.67615,                 1.0293,                0.80492,                0.57829,                0.65385,                0.42269,                0.72298,                 0.5103,                0.55879,                0.29023,                0.98889,                 2.1954,                 0.7014,                0.93562,             3.2436e-05,             3.2436e-05,             3.2436e-05
                     39,                0.93143,                 2.0579,                0.67429,                 1.0291,                 0.7859,                0.59165,                0.65609,                0.42246,                0.72771,                 0.5133,                0.56221,                0.29337,                0.98618,                 2.1893,                0.70001,                0.93426,             2.2908e-05,             2.2908e-05,             2.2908e-05
                     40,                0.93105,                 2.0528,                0.67171,                 1.0253,                0.79863,                0.58159,                0.65505,                0.42397,                0.71494,                0.51235,                0.55949,                0.29281,                0.98259,                 2.1913,                0.69672,                0.93172,             1.3379e-05,             1.3379e-05,             1.3379e-05
